Número de concesión|Tipo de documento|Número de solicitud|Fecha de presentación|Fecha de concesión|Clasificación CIP|Título|Resumen|Inventor(es)|Titular
Gaceta: Patentes, Registros de Modelos de Utilidad y de Diseños Industriales Volúmen: Enero
344617|Patente|MX/a/2008/001518|31/01/2008|03/01/2017|<p><b>B60C 11/11</b>  (2006.01)</p>; <p><b>B29C 33/42</b>  (2006.01)</p>; <p><b>B60C 11/03</b>  (2006.01)</p>|BANDA DE RODADURA QUE TIENE ELEMENTOS DE BANDA DE RODADURA CON UN BORDE BISELADO.|Esta solicitud describe un neumático que comprende una banda de rodadura circunferencial que incluye al menos un elemento de la banda de rodadura que tiene una superficie superior, al menos un borde y al menos una superficie biselada que se extiende entre la superficie superior y el borde. La superficie biselada está orientada en un ángulo con relación a la superficie superior del elemento de la banda de rodadura que varía a todo lo largo de la superficie biselada. De manera alternativa, la superficie biselada puede tener un ancho y una altura que varían a lo largo de sus longitudes respectivas.|KEITH A. DUMIGAN [US]; Akron, Ohio, 44313, US|BRIDGESTONE AMERICAS TIRE OPERATIONS, LLC [US]; Nashville, Tennessee, 37214, US|
344618|Patente|MX/a/2014/014289|24/11/2014|03/01/2017|<p><i><b>B65D 3/06</b></i>  (2006.01)</p>; <p><i><b>B65D 3/20</b></i>  (2006.01)</p>|TAZA CON SOLAPAS DE CIERRE INTEGRAL QUE RESTRINGEN EL DERRAME|La presente invención se refiere a un recipiente (1) que comprende una pared (2) que tiene una base cerrada (4) en un extremo y una orilla en general circular u ovalada (5) en un extremo opuesto, la orilla que define una abertura superior (6) del recipiente. El recipiente (1) comprende además un arreglo de solapas (70, 80) por lo que las fuerzas opuestas entre una orilla de una primera solapa (70) y la cara interior de una segunda solapa (80) son suficientes para empujar la orilla respectiva y la cara interior conjuntamente en un contacto ajustado. Se proporciona un arreglo de cierre (300a, 300b) para restringir las aberturas de solapa (100a, 100b) formadas en o por debajo de la orilla (5) del recipiente entre las solapas (70) para impedir la salpicadura y reducir la velocidad de derrame si se vuelva al recipiente. La presente invención mejora de este modo las propiedades de resistencia a derrame para el recipiente (1), en tanto que, si se requiere beber o verter, permite que el recipiente permita el paso de un líquido cuando se inclina para beber y verter.|WEI LU [IE]; KENNETH DUGGAN [IE]; Ballymun, Dublin, 9, IE|HANPAK LIMITED [IE]; Ballybrittas County, Laois, IE|
344619|Patente|MX/a/2015/012657|10/09/2015|03/01/2017|<p><i><b>F21V 13/04</b></i>  (2006.01)</p>; <p><i><b>F21V 17/00</b></i>  (2006.01)</p>; <p><i><b>H02S 40/22</b></i>  (2014.01)</p>|PANEL DE LUZ, MONTAJE OPTICO CON INTERFAZ MEJORADA Y PANEL DE LUZ CON TOLERANCIAS MEJORADAS DE FABRICACION.|Se describe paneles de luz, y métodos de provisión de los paneles de luz. Los paneles de luz descritos son sustancialmente transparentes y pueden operar como un dispositivo de iluminación o como un panel solar. Un panel de luz de ejemplo incluye una primera capa óptica para transmitir luz; una segunda capa óptica con una superficie reflectante configurada para uno de dirigir luz dese la primera capa óptica y dirigir luz a la primera capa óptica; y un montaje receptor colocado entre la primera capa óptica y la segunda capa óptica. El montaje receptor incluye una primera capa receptora adyacente a la primera capa óptica; una segunda capa receptora adyacente a la segunda capa óptica y separada de la primera capa receptora; y un dispositivo de luz acoplado a la primera capa receptora. El dispositivo de luz desde la superficie reflectante o para proporcionar luz a la superficie reflectante.|MORGAN, JOHN PAUL [CA]; MYRSKOG, STEFAN [CA]; BARNES, BRETT [CA]; SINCLAIR, MICHAEL [CA]; MORRIS, NIGEL [CA]; Toronto, Ontario, M6J 1Z8, CA|MORGAN SOLAR INC. [CA]; Toronto, Ontario, M6K 1A2, CA|
344620|Patente|MX/a/2013/012872|26/08/2009|03/01/2017|<p><b>B01D 46/52</b>  (2006.01)</p>|ARREGLO DE FILTRO DE AIRE, MONTAJE DE LIMPIADOR DE AIRE, Y METODOS.|La presente invención se refiere a un paquete de medios que incluye un cartucho de filtro de un arreglo de filtro de aire. Los medios son de una configuración perimetral no rectangular, un ejemplo mostrado es trapezoidal. Se describen cartuchos de filtro que incluyen tales paquetes de medios, montajes de limpiador de aire y sistemas de equipo. También se describen métodos de uso del montaje.|DAVID W. NELSON [US]; BENNY KEVIN NELSON [US]; Coon Rapids, Minnesota, 55448, US|DONALDSON COMPANY, INC. [US]; Minneapolis, Minnesota, 55440-1299, US|
344621|Patente|MX/a/2011/011568|20/12/2006|03/01/2017|<p><b>A61K 47/48</b>  (2006.01)</p>; <p><b>A61K 39/095</b>  (2006.01)</p>|ANALISIS DIMENSIONAL DE CONJUGADOS SACARIDOS CON CROMATOGRAFIA DE PERMEACION EN GEL Y CROMATOGRAFIA DE EXCLUSION DE TAMAÑO CON DETECCION MEDIANTE FOTOMETRIA DE DISPERSION DE LUZ DE ANGULOS MULTIPLES.|La presente invención se refiere a una composición caracterizada porque comprende: un conjugado de un sacárido capsular del serogrupo A de N.meningitis, en donde el tamaño molecular del conjugado es de 5.71% ± 2% nm (57.1 ± 2% A) y la masa molar del conjugado es de 99.5 ± 2% kDa, un conjugado de un sacárido capsular del serogrupo Cde N, meningitidis, en donde el tamaño molecular del conjugado es de 5.70% ± 2% nm (57.9 ± 2% A) y la masa molar del conjugado es de 85.2 ± 2% kDa, un conjugado de un sacárido capsular del serogrupo W 135 de N. meningitidis, en donde el tamaño molecular del conjugado es de 6.87 ± 2% A) y la masa molar del conjugado es de 110.1 ± 2% kDa y un conjugado es de 110.1 ± 2% kDa y un conjugado de un sacárido capsular del serogrupo Y de N. meningitidis, en donde el tamaño molecular del conjugado es de 6.33 ± 2% nm (63.3 2% A) y la masa molar del conjugado es de 84.7 ± 2% kDa, en donde el vehiculo de proteína para cada conjugado es CRM 197.|GIORGIO CAPANNOLI [IT]; VALERIA CARINCI [IT]; SANDRO D'ASCENZI [IT]; CLAUDIA MAGAGNOLI [IT]; Siena, I-53100, IT|NOVARTIS VACCINES AND DIAGNOSTICS S.R.L. [IT]; Siena, I-53100, IT|
344622|Patente|MX/a/2013/002197|15/05/2009|03/01/2017|<p><b>B67D 7/80</b>  (2010.01)</p>; <p><i><b>F25D 17/02</b></i>  (2006.01)</p>|INTERCAMBIADOR DE CALOR, PARTICULARMENTE PARA USO EN UN DISTRIBUIDOR DE BEBIDAS.|Un método de enfriamiento de múltiples componentes de bebidas involucra: proporcionar un intercambiador de calor que comprende una pluralidad de hojas de material de transferencia de calor y al menos un primer y segundo canales de flujo definidos por superficies elaboradas al menos en parte por las hojas de material de transferencia de calor; dirigir un primer y segundo fluidos, de manera respectiva, a través del primer y segundo canales de flujo, cada uno del primer y segundo fluidos es seleccionado a partir del grupo que consiste de agua no carbonatada, agua carbonatada, concentrados de bebidas y bebidas no concentradas; colocar hielo en contacto al menos con una de las hojas de material de transferencia de calor; y derretir el cielo y con lo cual, se enfría el primer y segundo fluidos a medida que residen y pasan a través de sus respectivos canales. Un sistema mejorado de distribución de bebidas incluye una pluralidad de válvulas de distribución de bebidas y un intercambiador de calor que es configurado para enfriar los componentes de bebidas distribuidos a través de las válvulas mediante el derretimiento de hielo en contacto con el intercambiador de calor, el intercambiador de calor comprende una pluralidad de hojas de material de transferencia de calor y al menos un primer y segundo canales de flujo definidos por superficies elaboradas al menos en parte por las hojas de material de transferencia de calor. Un método de construcción de un intercambiador de calor para el enfriamiento de múltiples fluidos involucra proporcionar al menos una primera, segunda y tercera hojas de material de transferencia de calor en una relación apilada, con la segunda hoja entre la primera y la tercera hojas, dejando un primer espacio entre la primera y la segunda hojas y un segundo espacio entre la segunda y la tercera hojas; proporcionar al menos un divisor que forme al menos un primer y tercer pasajes distintos en el primer espacio, y al menos un divisor que forme por lo menos un segundo y cuarto pasajes distintos en el segundo espacio; y proporcionar conexiones de entrada y salida en comunicación fluida con los pasajes distintos en el primer y segundo espacios.|JERRY L. LANDERS [US]; CHARLES BENJAMIN MILLER [US]; Memphis, Indiana, 47173, US|MANITOWOC FOODSERVICE COMPANIES, INC. [US]; Reno, Nevada, 89501, US|
344623|Patente|MX/a/2013/006090|30/05/2013|03/01/2017|<p><i><b>C12Q 1/04</b></i>  (2006.01)</p>; <p><i><b>G01N 33/52</b></i>  (2006.01)</p>; <p><i><b>G01N 33/68</b></i>  (2006.01)</p>|COMPOSICION PARA DETECTAR BIOPELICULAS SOBRE TEJIDOS VIABLES.|La presente invención se refiere a una composición de tinción para el uso en hacer detectable la biopelícula sobre tejido viable, en donde la composición tiñe preferentemente la biopelícula y comprende un agente de tinción en una cantidad efectiva para teñir la biopelícula y hacerla detectable.|DAVID PARSONS [GB]; PHILLIP GODFREY BOWLER [GB]; DANIEL GARY METCALF [GB]; EMILY SONIA JOHNSON [IN]; Deeside Industrial Park, Flintshire, CH5 2NU, GB|CONVATEC TECHNOLOGIES INC. [US]; Las Vegas, Nevada, 89169-6754, US|
344624|Patente|MX/a/2015/014076|11/04/2013|03/01/2017|<p><i><b>A01M 1/04</b></i>  (2006.01)</p>; <p><i><b>A01M 1/12</b></i>  (2006.01)</p>; <p><i><b>A01M 1/14</b></i>  (2006.01)</p>|MONITOREO AUTOMATICO DE POBLACIONES DE INSECTOS.|Se describen modalidades ilustrativas del sistema de manejo integrado de plagas (IPM) (10) y de dispositivos electrónicos de monitoreo de insectos (EIMD) (12). En algunas modalidades, los EIMD (12) pueden cada uno comprender un señuelo (34) para atraer al menos una especie de insecto objeto, uno o más sensores (32) que generan una o más señales de salida en respuesta a un insecto (56) que se aproxima al señuelo (34), y un controlador electrónico (44) que se configura para determinar si el insecto (56) que se aproxima al señuelo (34) pertenece al menos a una especie de insecto objeto usando una o más señales de salida. En algunas modalidades, el sistema de IPM (10) puede comprender una pluralidad de EIMD (12) que se configuran para comunicar por una red inalámbrica compartida por la pluralidad de EIMD (12).|JOHNNY PARK [US]; GERMAN ANDRES HOLGUIN LONDONO [CO]; HENRY PONTI MEDEIROS [BR]; Lafayette, Indiana, 47909, US|PURDUE RESEARCH FOUNDATION [US]; West Lafayette, Indiana, 47906-4182, US|
344625|Patente|MX/a/2013/003597|27/03/2013|03/01/2017|<p><b>F02B 57/00</b>  (2006.01)</p>; <p><i><b>F01B 13/04</b></i>  (2006.01)</p>; <p><i><b>F02B 63/04</b></i>  (2006.01)</p>|MOTOR UTILIZABLE COMO FUENTE DE ENERGIA O BOMBA.|Se proporciona un motor el cual incluye un rotor montado n relación a una flecha de salida, el rotor tiene uno o más montajes de cilindro de pistón colocados dentro o sobre el rotor. El eje/ejes longitudinales de uno o más de los montajes de cilindro de pistón están orientados para ser tangenciales a una orilla periférica del rotor. El rotor o la flecha de salida tiene una leva lobulada la cual gira a una velocidad igual, mayor o menor que el rotor y la cual, por medio de compresión y combustión, cada pistón gira el rotor continuamente en relación a una parte estacionaria del motor.|WILLIAM LLEWIS WHITE [NZ]; St Martins, Christchurch, 8022, NZ|GRACE MOTOR WORKS LIMITED [NZ]; 192 Papanui Road, Christchurch, 8014, NZ|
344626|Patente|MX/a/2014/006717|05/06/2014|03/01/2017|<p><i><b>A61M 25/02</b></i>  (2006.01)</p>; <p><i><b>A61M 5/142</b></i>  (2006.01)</p>|CATETER INTRAVENOSO RECUBIERTO CON ADHESIVO, CON REVESTIMIENTO AUTOLIBERABLE.|Se proporcionan los dispositivos de catéter intravenoso que pueden incluir una o más porciones adhesivas que son colocadas y configuradas para mantener temporalmente una posición de un montaje de catéter después de la cateterización. Un revestimiento de liberación que cubre y protege las porciones adhesivas puede ser automáticamente removido para revelar el adhesivo después del retiro de una aguja introductora del montaje de catéter. El adhesivo puede ser configurado tal que un clínico puede insertar el montaje de catéter dentro del paciente, ajustar el adaptador de catéter del montaje de catéter a una posición deseada, retirar la aguja introductora, retirando con esto un revestimiento de liberación no adhesivo, protector, desde el adhesivo del montaje de catéter colocado, con lo cual se fija temporalmente la posición del montaje de catéter en la posición deseada por el contacto del adhesivo expuesto a la piel del paciente.|BART D. PETERSON [US]; MARCEL A. SOUZA [BR]; DARIN L. PETERSON [US]; AZHAR J. KHAN [US]; Farmington, Utah, 84025, US|BECTON, DICKINSON AND COMPANY [US]; Franklin Lakes, New Jersey, 07417-1880, US|
