Número de concesión|Tipo de documento|Número de solicitud|Fecha de presentación|Fecha de concesión|Clasificación CIP|Título|Resumen|Inventor(es)|Titular
Gaceta: Patentes, Registros de Modelos de Utilidad y de Diseños Industriales Volúmen: Junio
348138|Patente|MX/a/2014/006417|28/05/2014|02/06/2017|<b>H04N 5/00</b>  (2011.01); <b>H04R 1/02</b>  (2006.01); <b>H05K 7/14</b>  (2006.01); <b>H05K 7/18</b>  (2006.01)|APARATO DE VISUALIZACION CURVO.|Se proporciona un aparato de visualización. El aparato de visualización incluye una pantalla la cual es curva, de modo que los extremos laterales opuestos de la misma se proyecten hacia adelante con relación a una porción central de la misma. Se proporciona un armazón que tiene un extremo inferior soportado sobre una superficie horizontal y que permite que la pantalla que colocada dentro del mismo; donde el armazón de soporte es curvo, de modo que los extremos laterales opuestos a la porción central del mismo.|DOO SOON PARK [KR]; BO LA PARK [KR]; HAE SUNG PARK [KR]; SUNG IL BANG [KW]; JUN YOUNG CHOI [KR]; Yongin-Si, Gyeonggi-Do, KR|SAMSUNG ELECTRONICS CO., LTD. [KR]; Suwon-Si, Gyeonggi-Do, KR|
348139|Patente|MX/a/2013/007028|19/06/2013|30/05/2017|<i><b>A47K 10/42</b></i>  (2006.01); <i><b>B65B 63/02</b></i>  (2006.01)|UNA PILA DE UNA PLURALIDAD DE TOALLAS ABSORBENTES QUE CONTIENEN CELULOSA Y UN PROCESO PARA FABRICAR LA PILA.|Una pila de una pluralidad de toallas (3) absorbentes que contienen celulosa para un distribuidor (1), las toallas se pueden separar al distribuirse. La pila (2) se comprime a una densidad predeterminada dependiendo de la elección de material. La invención también tiene que ver con un proceso para fabricar tal pila.|PER MÖLLER [SE]; ROBERT KLING [SE]; MAGNUS FALK [SE]; ANNA NELVIG [SE]; FREDRIK WELANDER [SE]; MARTIN BONNEVIER [SE]; ANDERS ANDERSSON [SE]; Borlänge, 781 73, SE|SCA HYGIENE PRODUCTS AB [SE]; Göteborg, S-405 03, SE|
348140|Patente|MX/a/2014/003247|18/03/2014|30/05/2017|<i><b>B41J 2/09</b></i>  (2006.01); <b>B41J 2/185</b>  (2006.01)|METODO Y APARATO PARA OBTENER TINTA HOMOGENEA PARA DISPOSITIVOS DE INYECCION DE TINTA.|A fin de obtener tinta homogénea para impresoras CIJ, un chorro de tinta (12) se divide en gotas individuales, igualmente grandes de tinta (16, 32, 38) al menos parte de las gotas de tinta (16, 32, 38) se proporciona con una carga eléctrica, y las gotas de tinta (16, 32, 38) se guían por un dispositivo de desviación (20). Las gotas de tinta (32) que se desvían por una cantidad predeterminada se recolectan por un captador de gotas de homogenización (34) y se usan para impresión.|BERNHARD HEUFT [DE]; Burgbrohl, 56659, DE|SIMACO GMBH [DE]; Burgbrohl, 56659, DE|
348141|Patente|MX/a/2015/004743|15/04/2015|30/05/2017|<i><b>C25D 17/10</b></i>  (2006.01); <i><b>C25D 3/30</b></i>  (2006.01); <i><b>C25D 5/18</b></i>  (2006.01); <i><b>C25D 7/06</b></i>  (2006.01); <i><b>C25D 21/12</b></i>  (2006.01); <i><b>C25D 21/14</b></i>  (2006.01)|DISPOSITIVO Y METODO PARA RECUBRIMIENTO ELECTROLITICO DE OBJETO.|La presente invención se relaciona con un objeto (18), como por ejemplo un alambre, que es recubierto electrolíticamente de la manera que se sumerge en un recipiente de electrolito (10) conteniendo un electrolito (12) en el cual se sumergen al menos parcialmente un ánodo (14) soluble que está conectado en forma electroconductora con un polo positivo de una primera fuente de corriente directa (16), y al menos un ánodo (22) insoluble que está conectado en forma electroconductora con una segunda fuente de corriente directa (24), y se conecta en forma electroconductora con un polo negativo de la primera fuente de corriente directa (16) y con un polo negativo de la segunda fuente de corriente directa (24). Las dos fuentes de corriente directa (26, 24) pueden ser operadas independientemente entre sí para mantener el contenido metálico en el electrolito (12) dentro de un rango definido.|DAGMAR LORENZ [DE]; KLAUS MENNINGEN [DE]; MARKUS RAAB [DE]; Schwabach, 91126, DE|MASCHINENFABRIK NIEHOFF GMBH & CO. KG [DE]; Schwabach, 91126, DE|
348142|Patente|MX/a/2015/006619|29/08/2012|30/05/2017|<b>G03G 15/08</b>  (2006.01); <b>B65D 83/06</b>  (2006.01)|ENVASE DE TONER Y APARATO FORMADOR DE IMAGENES.|Un envase de tóner que está acoplado desmontablemente a un cuerpo principal de un aparato formador de imágenes de tal manera que una dirección longitudinal del envase de tóner es paralela a una dirección horizontal incluye: un cuerpo del envase cilíndrico que tiene una abertura en un extremo del mismo en la dirección longitudinal, y está configurado para transportar tóner contenido en el mismo hacia la abertura; una porción de tapa en donde se inserta la abertura del cuerpo del envase, y que incluye una salida de tóner en una porción inferior del mismo para descargar tóner descargado desde la abertura del cuerpo del envase al exterior del envase de tóner en una dirección verticalmente hacia abajo; y un miembro de compuerta que es sujetado en la parte inferior de la porción de tapa, y se mueve a lo largo de una periferia exterior de la porción de tapa para así abrir y cerrar la salida de tóner, en donde la porción de tapa se forma por moldeo integral.|NOBUO TAKAMI [JP]; KENJI KIKUCHI [JP]; EISUKE HORI [JP]; HIDEKI KIMURA [JP]; NORIYUKI KIMURA [JP]; JUNJI YAMABE [JP]; MASATO SUZUKI [JP]; YUJI SUZUKI [JP]; Ohta-ku, Tokio, 1438555, JP|RICOH COMPANY, LTD [JP]; Ohta-ku, Tokio, 1438555, JP|
348143|Patente|MX/a/2014/001525|07/02/2014|29/05/2017|<i><b>A23K 10/16</b></i>  (2016.01); <i><b>A23K 10/30</b></i>  (2016.01); <i><b>A23K 10/38</b></i>  (2016.01); <i><b>A23K 50/80</b></i>  (2016.01)|PROCEDIMIENTO PARA EL USO DE LA VINAZA.|A fin de resolver en forma completa los problemas existentes de vinaza, en particular en la producción de bioetanol de materias primas vegetales, se propone un método para producir alimentos de crustáceos del género artemia (camarón de salmuera) o copépodos (crustáceos de pies de remos) o de daphnia (pulgas de agua) o de miembros en forma de rotíferas o protozoos (protozoarios) estando caracterizado este método en que los cultivos de crustáceos /microbios se alimentan por lo menos parcialmente con vinaza, preferiblemente vinaza delgada, en particular procedente de la producción de bioetanol, y con las levaduras contenidas en la vinaza. Al mismo tiempo se provee un método para procesar la vinaza, quedando caracterizado este método correspondientemente en que se utiliza la vinaza como alimento de los cultivos de crustáceos / microbios y/o para cultivos de algas a fin de descomponer al menos parcialmente las levaduras contenidas en la vinaza. Con relación a lo anterior, se propone igualmente que el calor de proceso producido durante la producción de vinaza, en particular en el transcurso de la producción de bioetanol, se aprovecha para calentar el agua para el cultivo de crustáceos / microbios y/o algas a fin de utilizar el contenido de energía térmica de la vinaza de una manera útil.|SLEGMAR VOGEL [DE]; Berlín, 12167, DE|WEBER ULTRASONICS GMBH [DE]; Karlsbad-Itlersbach, 76307, DE|
348144|Patente|MX/a/2016/004402|06/04/2016|30/05/2017|<i><b>D21B 1/06</b></i>  (2006.01)|DISPERSION DE AIRE DE FIBRAS MINERALES EN LA FABRICACION DE PLACAS DE CIELO RASO.|Un método para formar una lechada de agua diluida para afieltrar con agua una capa base para una placa acústica de cielo raso que comprende enviar un fardo de lana mineral comprimida con una densidad de al menos 8 lb por pie cúbico (128.17kg/m3) en una estación de desembalaje, liberar las ataduras del fardo en compresión, separar en forma mecánica las fibras de un fardo de lana mineral con instrumental mecánico que se dispone para dispersar las fibras en una densidad por lo general uniforme de menos de 2 lb por pie cúbico (32.03kg/m3) antes del pasaje de las fibras a través de la entrada del tanque, y hacer que las fibras minerales separadas pasen al interior del tanque de mezcla para que entren en contacto con el aglutinante suspendido en agua.|MARTIN W. BROWN [US]; Gurnee, Illinois, 60031, US|USG INTERIORS, LLC [US]; Chicago, Illinois, 60661-3676, US|
348145|Patente|MX/a/2011/000206|05/01/2011|30/05/2017|<i><b>B29C 49/46</b></i>  (2006.01); <i><b>B65B 3/02</b></i>  (2006.01); <i>B29C 49/06</i>  (2006.01); <i>B29C 49/12</i>  (2006.01); <i>B29C 49/78</i>  (2006.01)|DISPOSITIVO PARA EMPACAR UN PRODUCTO ALIMENTICIO LIQUIDO.|La invención se relaciona con un dispositivo para despachar una bebida en un envase termoplástico formado de una preforma calentada (110), la preforma siendo aproximadamente cilíndrica y colocada en un molde, caracterizado en que incluye medios de inyección para inyectar por lo menos algunas bebidas en una cavidad en la preforma con el fin de promover la expansión de la preforma dentro del molde, el molde definiendo la forma del envase, dichos medios de inyección comprendiendo una cabeza de inyección (18) diseñada para inyectar por lo menos una bebida mediante una boca de la cavidad, dicha cabeza de inyección siendo integrada en el molde.|GUILLAUME CHAUVIN [FR]; FABIO CHIMETTO [IT]; KLAUS HARTWIG [DE]; Monthureux Sur Saone, F-88410, FR|DISCMA AG [CH];|
348146|Patente|MX/a/2013/011166|27/09/2013|02/06/2017|<i><b>E04B 1/86</b></i>  (2006.01); <i><b>E04B 9/00</b></i>  (2006.01); <i><b>E04B 9/04</b></i>  (2006.01)|PANEL ACUSTICO CORRUGADO Y METODO DE PRODUCCION.|La invención describe un panel acústico (209) útil como teja de techo que comprende al menos una capa o capas corrugadas (21) y aberturas (27) situadas en las capa o capas (21). Un método de producción también se describe.|MARK ENGLERT [US]; QING C. YU [CN]; Libertyville, Illinois, 60048, US|USG INTERIORS, LLC [US]; Chicago, Illinois, 60661-3676, US|
348147|Patente|MX/a/2014/006993|11/06/2014|30/05/2017|<i><b>C07C 311/21</b></i>  (2006.01); <i><b>A61K 31/18</b></i>  (2006.01); <i><b>A61K 31/41</b></i>  (2006.01); <i><b>A61K 31/343</b></i>  (2006.01); <i><b>A61K 31/381</b></i>  (2006.01); <i><b>A61K 31/427</b></i>  (2006.01); <i><b>A61K 31/506</b></i>  (2006.01); <i><b>A61K 31/4436</b></i>  (2006.01); <i><b>A61P 29/00</b></i>  (2006.01); <i><b>A61P 35/00</b></i>  (2006.01); <i><b>C07C 311/13</b></i>  (2006.01); <i><b>C07C 311/27</b></i>  (2006.01); <i><b>C07C 311/29</b></i>  (2006.01); <i><b>C07C 311/39</b></i>  (2006.01); <i><b>C07C 311/46</b></i>  (2006.01)|BIARILSULFONAMIDAS UTILES EN EL TRATAMIENTO DE LA INFLAMACION Y CANCER.|La presente invención se refiere a un compuesto de fórmula (I), útil para el tratamiento de cáncer, inflamación y trastornos inflamatorios, y una composición farmacéutica que contiene el compuesto.|JESSICA MARTINSSON [SE]; KATARINA FÄRNEGÅRDH [SE]; MATTIAS JÖNSSON [SE]; RUNE RINGOM [NO]; Sollentuna, 191 64, SE|KANCERA AB [SE]; Banvaktsvägen 22, Solna, S-171 48, SE|
