Número de concesión|Tipo de documento|Número de solicitud|Fecha de presentación|Fecha de concesión|Clasificación CIP|Título|Resumen|Inventor(es)|Titular
Gaceta: Patentes, Registros de Modelos de Utilidad y de Diseños Industriales Volúmen: Julio de 2014
321509|Patente|MX/a/2010/012360|10/11/2010|29/05/2014|<i>G01R27/00</i> <b>(2006-01)</b>; <i>G01R21/133</i> <b>(2006-01)</b>; <i>G01R29/24</i> <b>(2006-01)</b>; <i>G01R31/00</i> <b>(2006-01)</b>|SIMULADOR DE CARGAS RESIDENCIALES PARA LA EVALUACION DE UN GENERADOR DE CELDAS DE COMBUSTIBLE.|Simulador de cargas residenciales para la evaluación de un generador de celdas de combustible u otro sistema de generación de corriente eléctrica, caracterizado porque comprende los siguientes componentes, un control lógico con circuitos digitales que determinan la carga que deberá ser demandada, acoplado a un banco de resistencias que consumen y disipan la potencia proporcionada por la celda de combustible ó el generador eléctrico y que comprende además un circuito de control que consta de líneas digitales de entrada, por medio de las cuales y a través de una computadora, se ejerce el control para un banco de resistencias y porque las líneas de salida digital, corresponden a cada uno de los transistores contenidos en el banco de resistencias y funcionan como compuertas lógicas y porque los valores de resistencias se seleccionan en función de la capacidad y resolución requerida por el sistema y que comprende un control programable que convierte la información de los perfiles de carga en señales enviadas digitalmente a los transistores que funcionan como interruptores que modifican la configuración del banco de resistencias.|ULISES CANO CASTILLO [MX]; Cuernavaca, Morelos, 62490, MX|INSTITUTO DE INVESTIGACIONES ELECTRICAS [MX]; Cuernavaca, Morelos, 62490, MX|
321510|Patente|MX/a/2007/015202|03/12/2007|25/06/2014|<i>A61P31/10</i> <b>(2006-01)</b>; <i>A61K8/18</i> <b>(2006-01)</b>|COMPOSICION DE TALCO-SPRAY CONTENIENDO TERBINAFINA Y TRICLOSAN.|Se describe una composición para el cuidado de la piel, la composición se aplica mediante dispersión que seca rápidamente dejando una capa uniforme de talco en un área específica, la cual es útil para tratar infecciones por hongos, conteniendo cantidades farmacéuticamente efectivas de terbinafina y triclosán.|LUIS ESTRADA FLORES [MX]; ALFREDO RIVERA H. [MX]; MARISOL LÓPEZ CRUZ [MX]; TLALPAN, Distrito Federal, 14050, MX|PSICOFARMA, S.A. DE C.V. [MX]; TLALPAN, Distrito Federal, 14050, MX|
321511|Patente|MX/a/2009/013548|11/12/2009|01/07/2014|<i>F25B9/14</i> <b>(2006-01)</b>; <i>B01L7/00</i> <b>(2006-01)</b>; <i>F25D3/00</i> <b>(2006-01)</b>; <i>F25D3/10</i> <b>(2006-01)</b>|CONTROLADOR DE TEMPERATURAS CRIOGENICAS POR CONDUCCION TERMICA.|El invento objeto de la presente solicitud es un controlador o sistema para enfriar y calentar, a diferentes velocidades, un grupo de diferentes muestras simultáneamente, desde temperatura ambiente hasta la temperaturas criogénicas y viceversa. El sistema consta de varias cámaras que sirven al mismo tiempo de porta-muestras que soportan un disco contiene un medidor de temperatura y una tapa de material compactado. Las cámaras están cerradas en la base superior y abiertas en la otra base inferior. Las cámaras tienen junto a la base inferior un orificio en la cara lateral.|LUIS MANUEL LEÓN ROSSANO [MX]; COYOACAN, Distrito Federal, 04700, MX|UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO [MX]; COYOACAN, Distrito Federal, 04510, MX|
321512|Patente|MX/a/2011/005258|18/05/2011|01/07/2014|<i>C04B18/02</i> <b>(2006-01)</b>; <i>C04B18/16</i> <b>(2006-01)</b>; <i>C04B28/02</i> <b>(2006-01)</b>; <i>C04B40/00</i> <b>(2006-01)</b>|ESTRUCTURA PARA EDIFICACIONES LIGERAS USANDO UN MORTERO Y UN METODO PARA LA PRODUCCION.|La invención concierne el campo de una estructura para edificaciones ligeras que se producen usando un mortero que contiene espuma de poliestireno y cemento y un método para la producción. Este incluye al menos una capa de un panel prefabricado de espuma de hormigón (60) fijado a una estructura marco de refuerzo (40), los interespacios entre los elementos de la estructura marco de refuerzo (40) se rellenan al menos parcialmente con un mortero (10, 12, 14, 16) proporcionado una primera superficie que contacta con dicho panel es espuma de hormigón (60), dicho mortero (10, 12, 14, 16) comprende gránulos del tamaño de 0.5-10 mm producidos por molienda de espuma de hormigón prensado que se han dejado madurar, 50-200 Kg de cemento anhidro no enlazado, y 150-300 I de agua adicionados antes de la aplicación por 1 m3 de material de molido, respectivamente.|ANTAL, ISTVÁN [HU]; Szeged, H-6721, HU|LÖGLEN KFT.* [HU]; Szeged, H-6753, HU|
321513|Patente|MX/a/2009/010836|07/10/2009|01/07/2014|<i>C08G65/26</i> <b>(2006-01)</b>; <i>C08G63/00</i> <b>(2006-01)</b>; <i>C08G65/332</i> <b>(2006-01)</b>|PROCEDIMIENTO PARA LA PREPARACION DE POLIETER ESTER POLIOLES.|La presente invención se refiere a un procedimiento para la preparación de poliéter éster polioles partiendo de ésteres de ácido graso y de compuestos iniciadores que presentan átomos de hidrógeno activo de Zerewitinoff, y a su uso en la producción de materiales de poliuretano sólidos o espumados.|LORENZ, KLAUS [DE]; ALBERS, REINHARD [DE]; OTTO, FRANK [DE]; Dormagen, 41539, DE|BAYER MATERIALSCIENCE AG [DE]; Leverkusen, D-51369, DE|
321514|Patente|MX/a/2011/001028|27/01/2011|01/07/2014|<i>A61K38/00</i> <b>(2006-01)</b>|ANALOGOS TRUNCADOS DE POLIPEPTIDOS DE INSULINOTROPICOS DEPENDIENTES DE GLUCOSA.|La presente invención se refiere a una serie de análogos novedosos del compuestos de polipéptido insulinotrópico dependiente de glucosa, composiciones farmacéuticas que contienen dichos compuestos, y el uso de dichos compuestos como agonistas o antagonistas del receptor GIP para el tratamiento de condiciones medidas por el receptor GIP, como diabetes mellitus no dependientes de insulina y obesidad.|ZHENG XIN DONG [US]; YEELANA SHEN [US]; DANIEL B. DEOLIVEIRA [US]; Holliston, Massachusetts, 01746, US|IPSEN PHARMA, S.A.S. [FR]; Boulogne-Billancourt, F-92100, FR|
321515|Patente|MX/a/2013/004708|26/04/2013|27/06/2014|<i>H04L1/16</i> <b>(2006-01)</b>|METODO Y DISPOSITIVO PARA REALIMENTAR INFORMACION DE REALIMENTACION DE CANAL DE ENLACE DESCENDENTE, Y METODO Y DISPOSITIVO PARA UNIFICACION DE USUARIOS.|Se describen un método y dispositivo para realimentar información de realimentación de canal de enlace descendente, y un método y dispositivo para unificación de usuarios. El método para realimentar información de realimentación de canal de enlace descendente incluye: calcular el error de indicación de calidad de canal de varios usuarios de un usuario, cuyo error se utiliza para reflejar la diferencia en indicación de calidad de canal entre la situación de transmisión de múltiple entrada múltiple salida de varios usuarios y la situación de transmisión de múltiple entrada múltiple salida de un solo usuario; agregar el error de indicación de calidad de canal de varios usuarios en la información de realimentación de canal de enlace descendente que incluye una indicación de matriz de precodificación y una indicación de calidad de canal, y realimentar la misma a una estación base para programación. Por lo tanto, la proporción de bits erróneos de la desmodulación del sistema MIMO puede reducirse y puede mejorarse el rendimiento de sistema.|CHAO WANG [CN]; QIMEI CUI [CN]; SHIYUAN LI [CN]; XIAOFENG TAO [CN]; Haidian District, Beijing, 100876, CN|SONY CORPORATION.* [JP]; Minato-ku, Tokio, 1080075, JP|
321516|Patente|MX/a/2010/000495|12/01/2010|01/07/2014|<i>A61F5/00</i> <b>(2006-01)</b>; <i>A61M29/00</i> <b>(2006-01)</b>|DISPOSITIVO INTRALUMINAL CONFORMACIONALMENTE ESTABILIZADO PARA APLICACIONES MEDICAS.|La invención se refiere a dispositivos (20) que es estabilizado en un sitio de residencia intraluminal en el tracto gastrointestinal por su conformación, incluyendo las dimensiones de longitud y curvatura. El dispositivo como un todo, corresponde a la conformación del sitio de residencia; más particularmente, las porciones curvadas o anguladas corresponden a las porciones curvadas o anguladas del sitio de residencia y no se conforman a un sitio inmediatamente proximal o distal. En algunas modalidades, el dispositivo conformacionalmente estabilizado puede efectuar un cambio en la forma del sitio de residencia que contribuye a la estabilidad del dispositivo. Algunas modalidades están dirigidas a controlar el apetito y/o a reducir la ingestión de alimento, otras modalidades pueden estar dirigidas a otros fines terapéuticos. Algunas modalidades del dispositivo están diseñadas para residir completamente en el duodeno, otras residen principalmente dentro del duodeno pero se extienden proximalmente al antro gástrico, mientras que otras modalidades están diseñadas para residir en otro sitio dentro del tracto gastrointestinal.|KENNETH F. BINMOELLER [US]; JAMES T. MCKINLEY [US]; MATTHEW YUREK [US]; FIONA M. SANDER [US]; California, 92067, US|ENDOSPHERE, INC. [US]; Redwood City, California, 94065, US|
321517|Patente|MX/a/2010/000181|07/01/2010|01/07/2014|<i>C12N9/74</i> <b>(2006-01)</b>; <i>A61K38/43</i> <b>(2006-01)</b>; <i>A61K38/48</i> <b>(2006-01)</b>; <i>C07H21/04</i> <b>(2006-01)</b>; <i>C07K1/00</i> <b>(2006-01)</b>; <i>C12N15/00</i> <b>(2006-01)</b>; <i>C12N5/02</i> <b>(2006-01)</b>; <i>C12N9/02</i> <b>(2006-01)</b>; <i>C12N9/48</i> <b>(2006-01)</b>; <i>C12N9/64</i> <b>(2006-01)</b>; <i>C12P21/02</i> <b>(2006-01)</b>; <i>C12P21/04</i> <b>(2006-01)</b>; <i>C12P21/06</i> <b>(2006-01)</b>|METODO PARA LA PRODUCCION DE TROMBINA HUMANA RECOMBINANTE '644.|La presente invención se refiere a un método para producir trombina humana recombinante a partir de protrombina recombinante utilizando ecarina recombinante que tiene una secuencia de aminoácidos que es codificada por la secuencia nucleotídica SEQ ID No.: 2.|ANNA HARRYSSON [SE]; ANN LÖVGREN [SE]; Mönldal, S-43183, SE|ASTRAZENECA AB [SE]; Södertälje, S-151 85, SE|
321518|Patente|MX/a/2010/004164|16/04/2010|01/07/2014|<i>A61P35/00</i> <b>(2006-01)</b>; <i>A61K31/00</i> <b>(2006-01)</b>; <i>A61K39/395</i> <b>(2006-01)</b>|TERAPIA DE COMBINACION DE UN ANTICUERPO ANTI-CD20 DE TIPO II CON UN INHIBIDOR DE PROTEASOMA|La presente invención se refiere al uso de un anticuerpo anti-CD20 de tipo II para la fabricación de un medicamento destinado al tratamiento del cáncer, en especial de un cáncer que exprese al CD2O, en combinación con un inhibidor de proteasoma.|GEORG FERTIG [DE]; PABLO UMANA [CR]; THOMAS FRIESS [DE]; CHRISTIAN KLEIN [DE]; Penzberg, D-82377, DE|ROCHE GLYCART AG [CH]; Schlieren, CH-8952, CH|
321519|Patente|MX/a/2012/000813|17/01/2012|01/07/2014|<i>A61K39/00</i> <b>(2006-01)</b>; <i>C07K7/14</i> <b>(2006-01)</b>|VACUNA.|La presente invención se refiere a una vacuna que comprende un péptido unido a un vehículo farmacéuticamente aceptable, el péptido tiene la secuencia de aminoácidos (X1)m (X2)n (X3)O X4 X5 H P X6 (fórmula I), para tratar y/o prevenir un trastorno físico asociado con el sistema de angiotensina activado por renina, en donde X1 es G o D; X2 es A, P, M, G o R; X3 es G, A, H o V; X4 es S, A, D o Y; X5 es A, D, H, S, N o I; X6 es A, L o F; en donde m, n y 0 son independientemente 0 ó 1 bajo la premisa que cuando o es 0 m y n son 0 y cuando n es 0 m es 0, y en donde el péptido no es DRVYIHPF.|WALTER SCHMIDT.* [DE]; FRANK MATTNER [DE]; ANDREA DOLISCHKA [AT]; GÜNTHER STAFFLER [IT]; PETRA LÜHRS [DE]; ANDREAS MAIRHOFER [AT]; Vienna, A-1020, AT|AFFIRIS AG.* [AT]; Vienna, A-1030, AT|
