Número de concesión|Tipo de documento|Número de solicitud|Fecha de presentación|Fecha de concesión|Clasificación CIP|Título|Resumen|Inventor(es)|Titular
Gaceta: Patentes, Registros de Modelos de Utilidad y de Diseños Industriales Volúmen: Junio de 2014
320695|Patente|MX/a/2008/013821|28/10/2008|12/05/2014|<i>C08K5/00</i> <b>(2006-01)</b>; <i>C08L101/12</i> <b>(2006-01)</b>; <i>H01B3/30</i> <b>(2006-01)</b>; <i>H01B5/16</i> <b>(2006-01)</b>; <i>H01B7/28</i> <b>(2006-01)</b>|ALAMBRE MAGNETO CON REVESTIMIENTO ADICIONADO CON NANOESTRUCTURAS TIPO FULERENO|Un alambre magneto conformado por un conductor eléctrico y un revestimiento alrededor del conductor eléctrico, el revestimiento es resistente a corona y/o de bajo coeficiente de fricción y está compuesto de 82 % en peso en peso a 99.95 % en peso de resina polimérica; y de 0.05 % en peso a 18 % en peso de nanoestructuras tipo fulereno.|EDGAR ALBERTO DUARTE PEÑA [MX]; MARÍA GUADALUPE RODRÍGUEZ GARCÍA [MX]; MONTERREY, Nuevo León, 64349, MX|MAGNEKON, S.A. DE C.V. [MX]; SAN NICOLAS DE LOS GARZA, Nuevo León, 66493, MX|
320696|Patente|MX/a/2011/006583|17/06/2011|12/05/2014|<i>C11B1/04</i> <b>(2006-01)</b>; <i>H01L21/312</i> <b>(2006-01)</b>|COMPOSICIÓN DE FLUIDO DIELÉCTRICO A BASE DE ACEITES VEGETALES Y LIBRE DE ANTIOXIDANTES|La presente invención se refiere a una composición de fluido dieléctrico que tiene de 60 en peso % a 63 % en peso de ácido graso monoinsaturado; de 20 % en peso a 23 % en peso de ácido graso diinsaturado; de 5 % en peso a 7 % en peso de ácido graso triinsaturado; y de 6 % en peso a 8 % en peso de ácido graso saturado; tal que el fluido dieléctrico está libre de antioxidantes y/o aditivos externos y cuenta con las propiedades de una rigidez dieléctrica de 40 Kv a 70 kV a una separación de 2 mm, una constante dieléctirca de 2.5 a 3.1 a 25°C, y un factor de disipación de 0.05 % a 0.15 % a 25°C. La composición de fluido dieléctrico puede obtenerse a partir de la combinación de 95.5 % en peso a 99.25 % en peso de al menos un aceite vegetal alto oleico; de 0.25 % en peso a 1.5 % en peso de aceite de semilla de uva; de o.25 % en peso de aceite de ajonjolí; y de 0.25 % en peso a 1.5 % en peso de aceite de arroz.|JAVIER ARANDA COTERO [MX]; DAVID APOLINAR GUERRA ZUBIAGA [MX]; JOSE EULALIO CONTRERAS DE LEON [MX]; LORENA ALVAREZ CONTRERAS [MX]; Zapopan, Jalisco, 45020, MX|PROLEC-GE INTERNACIONAL, S. DE R.L. DE C.V. [MX]; SESAJAL, S.A. DE C.V. [MX]; APODACA, Nuevo León, 66600, MX|
320697|Patente|MX/a/2008/010597|18/08/2008|12/05/2014|<i>H01B17/62</i> <b>(2006-01)</b>; <i>H01B7/36</i> <b>(2006-01)</b>|MALLA IDENTIFICADORA DE CABLES ELECTRICOS CON ARMADURA METALICA|La presente invención se refiere a una malla compuesta por hilos, cordones o cintas de colores formada sobre la superficie externa de la armadura metálica de cables eléctricos para identificar diferentes características funcionales de conductores eléctricos contenidos en el interior de los cables eléctricos con armadura metálica. El material de construcción de la malla identificadora puede ser de material metálico, polimérico, textil o de compuestos resistentes al fuego. Más información sobre la identificación de los cables puede ser agregada en una cinta colocada entre la superficie exterior de la armadura metálica y la malla identificadora. Para proteger a la malla identificadora durante el manejo de los cables y en especial para instalaciones subterráneas una cubierta de plástico transparente puede ser colocada sobre la malla identificadora.|PATRICIO GERARDO MURGA GONZALEZ [MX]; GREGORIO VARGAS GUTIÉRREZ [MX]; SERGIO ARTURO MONTES VALDEZ [MX]; Monterrey, Nuevo León, NL 64700, MX|CONDUCTORES MONTERREY, S. A. DE C. V. [MX]; San Nicolas de los Garza, 66493, MX|
320698|Patente|MX/a/2012/001212|27/01/2012|19/05/2014|<i>A61K31/737</i> <b>(2006-01)</b>; <i>A61P41/00</i> <b>(2006-01)</b>; <i>A61P9/10</i> <b>(2006-01)</b>|COMPOSICIONES FARMACEUTICAS QUE COMPRENDEN FUCANOS MODIFICADOS PARA SU USO EN EL TRATAMIENTO DE ADHESIONES FIBROSAS Y OTROS TRASTORNOS.|Composiciones que comprenden agentes fucanos y el uso de las composiciones en el tratamiento, prevención, inhibición etc., de adhesiones fibrosas, peritonitis, isquemia, daño por reperfusión, endotoxemia, queloides y cicatrización de carácter queloide, dermatitis y rosácea. Los agentes fucanos preferidos se caracterizan por su distribución de pesos moleculares.|CHRISTOPHER MICHAEL KEVIN SPRINGATE [CA]; Columbia Británica, ---, V4A 2E5, CA|ARC MEDICAL DEVICES INC [CA]; VANCOUVER, BC, V6t 1Z3, CA|
320699|Patente|MX/a/2012/000005|02/01/2012|29/05/2014|<i>H04K1/04</i> <b>(2006-01)</b>; <i>H04K1/06</i> <b>(2006-01)</b>|MÉTODO DE COMPRESIÓN A BASE DE ELIMINAIÓN DE PATRÓN DINÁMICO PARA PROTOCOLOS DE SEÑALIZACIÓN BASE DE TEXTO.|Se proporciona un método para controlar una cantidad de un electrólito líquido en una membrana de polímero-electrólito del de una célula de combustible. El método comprende enriquecer uno o más de flujo de combustible y flujo de aire con un vapor del electrólito líquido, el electrólito líquido no es susceptible de reabastecer por una reacción electroquímica de la celda de combustible. El método además comprende suministrar el vapor del electrólito líquido a la celda de combustible incluyendo la membrana de polímero-electrólito mediante uno o más de un ánodo permeable a gas y o el cátodo permeable a gas. De este modo, se puede reducir la pérdida de electrólito líquido de la membrana PEM de la celda de combustible, conduciendo a mejorada duración de la vida útil de la celda de combustible.|HAI VU [VN]; SHIH-CHUN CHANG [TW]; SIDDHARDHA GARIGE [IN]; NAIR SREEKANT [IN]; Santa Clara, CA, 95051, US|XG TECHNOLOGY, INC. [US]; Sarasota, FL, 34236, US|
320700|Patente|MX/a/2012/004105|04/04/2012|02/06/2014|<i>C12M1/34</i> <b>(2006-01)</b>; <i>C12Q1/04</i> <b>(2006-01)</b>; <i>G01N33/53</i> <b>(2006-01)</b>; <i>G01N33/543</i> <b>(2006-01)</b>|DISPOSITIVO PARA DETECCION DE ANTIGENOS Y USOS DEL MISMO.|La presente invención se refiere a un dispositivo para detectar un analito caracterizado porque comprende: un alojamiento que comprende un primer miembro de alojamiento y un segundo miembro de alojamiento, en donde el alojamiento comprende: a) una entrada en el primer miembro de alojamiento; b) un sistema de membrana de detección de analito entre el primero y segundo miembros de alojamiento que comprende en el siguiente orden: un cojincillo conjugado; un miembro adhesivo, una membrana de prueba; un miembro absorbente; y c) un miembro de fuerza; en donde por lo menos una porción de cada uno del cojincillo conjugado, membrana de prueba, y miembro absorbente son substancialmente paralelos entre sí, en donde el miembro de fuerza comprime el sistema de membrana de detección de analito; en donde la entrada permite que una muestra fluya verticalmente a través del sistema de membrana de detección de analito; y en donde el dispositivo tiene una altura de menos de 0.15 cm, un ancho de menos de 2.1cm y una profundidad de menos de 4.7 cm.|NICHOLAS A. SICILIANO [US]; MARTIN JOSEPH BOULIANE [CA]; Cherry Hill, New Jersey, 08034, US|INVISIBLE SENTINEL, INC.* [US]; Philadelphia, Pennsylvania, 19104, US|
320701|Patente|MX/a/2011/000782|07/09/2005|02/06/2014|<i>A23L1/05</i> <b>(2006-01)</b>; <i>A23L1/10</i> <b>(2006-01)</b>; <i>A23L1/105</i> (2006-01); <i>C12C1/00</i> <b>(2006-01)</b>; <i>C12C7/04</i> (2006-01); <i>C12P1/00</i> <b>(2006-01)</b>; <i>C12P1/02</i> <b>(2006-01)</b>; <i>C12P7/02</i> <b>(2006-01)</b>; <i>C12P7/06</i> <b>(2006-01)</b>; <i>C12P7/14</i> <b>(2006-01)</b>|COMPOSICIÓN QUE COMPRENDE ALMIDÓN COMO MATERIA PARIMA PARA LA PRODUCCIÓN DE ETANOL.|La presente invención se refiere a métodos para producir niveles elevados de alcohol durante la fermentación del material de la planta, y a la cerveza de alto contenido de alcohol producida. La presente invención también se refiere a métodos para producir el grano seco de alto contenido de proteína del destilador a partir de la fermentación del material de la planta, y al grano seco del destilador de alto contenido de proteína producido. La presente invención se refiere además a las emisiones de chimenea reducidas del secado de los productos de destilación de la producción de etanol.|STEVEN M. LEWIS [US]; SHON ERRON VAN HULZEN [US]; JOHN MICHAEL FINCK [US]; DEBBIE LYNN ROTH [US]; Sioux Falls, South Dakota, 57103, US|POET RESEARCH, INC.* [US]; Sioux Falls, South Dakota, 57104, US|
320702|Patente|MX/a/2012/008750|27/07/2012|02/06/2014|<i>G06F9/44</i> <b>(2006-01)</b>; <i>G06F3/048</i> <b>(2013-01)</b>|METODO DE PROCESAMIENTO DE DESPLIEGUE DE COMPONENTE Y EQUIPO DE USUARIO.|Modalidades de la presente invención proporcionan un método para un componente en un estuche de un procesamiento de despliegue de equipo de usuario y un equipo de usuario. El método incluye: obtener información de indicación que indique que un componente está en un estado de espera-para-ser-procesado; y de acuerdo con la información de indicación, ejecutar procesamiento de reducción sobre una primera región desplegada que está desplegada en una pantalla de despliegue, de manera que una región oculta es desplegada en la pantalla de despliegue, donde la primera región desplegada y la región oculta están comprendidas en el estuche para acomodar componentes. El equipo de usuario incluye: un módulo de obtención, configurado para obtener información de indicación indicando que un componente está en un estado de espera-para-ser-procesado; y un módulo de procesamiento; configurado para ejecutar, de acuerdo con la información de indicación, procesamiento de reducción sobre una primera región desplegada que está desplegada en una pantalla de despliegue en un estuche, de manera que una región oculta es desplegada en la pantalla de despliegue, donde la primera región desplegada y la región oculta están comprendidas en el estuche para acomodar componentes. En las modalidades de la presente invención, cuando un usuario necesita ejecutar procesamiento en un componente, se puede indicar al usuario que se puede ejecutar procesamiento en los componentes de la primera región desplegada y la región oculta.|YUZHUO PENG [CN]; Shenzhen, Guangdong, 518129, CN|HUAWEI DEVICE CO., LTD.* [CN]; Shenzhen, Guangdong, 518129, CN|
320703|Patente|MX/a/2012/010149|27/04/2009|02/06/2014|<i>H04L12/70</i> <b>(2013-01)</b>; <i>A43B5/04</i> <b>(2006-01)</b>; <i>H04B7/005</i> <b>(2006-01)</b>; <i>H04L12/28</i> <b>(2006-01)</b>|APARATO Y METODO DE ACCESO ALEATORIO PARA COMUNICACION INALABRICA.|Se describen técnicas para enviar mensajes para acceso de sistemas. En un aspecto, un equipo de usuario (UE) envía un primer mensaje con información de margen de reserva de potencia y/o de tamaño de memoria intermedia para el acceso de sistema. Un Nodo B determina por lo menos un parámetro (por ejemplo, una concesión de recursos, información de control de potencia, etc.), basándose en el margen de reserva de potencia y/o la información de tamaño de memoria intermedia. El Nodo B envía un segundo mensaje con el o los parámetros. El UE envía un tercer mensaje basándose en el o los parámetros, por ejemplo, con recursos de enlace ascendente indicados por la concesión de recursos, con potencia de transmisión determinada basa en la información de control de potencia, etc. En otro aspecto, el UE indica un reporte de ambiente de radio en el tercer mensaje. El reporte puede utilizarse para seleccionar una celda y/o una frecuencia para el UE. En aún otro aspecto, el segundo mensaje incluye información de control de potencia, y el UE envía el tercer mensaje basándose en la información de control de potencia.|JUAN MONTOJO [ES]; DURGA PRASAD MALLADI [IN]; ALEKSANDAR DAMNJANOVIC [RS]; San Diego, California, 92121, US|QUALCOMM INCORPORATED.* [US]; San Diego, California, 92121, US|
320704|Patente|MX/a/2010/004722|29/04/2010|02/06/2014|<i>D21B1/16</i> <b>(2006-01)</b>|METODO Y APARATO PARA HIDROLIZAR MATERIAL CELULOSICO.|Un método para hidrolizar el material celulósico leñoso que contiene lignina y bolsas de aire comprende el impregnar el material celulósico leñoso con un primer álcali que tiene un pH de a partir el 10 a 14 tal que el primer álcali esté en contacto con la lignina dentro del material celulósico leñoso. Después de esto, el material celulósico leñoso se hace avanzar a través de un recipiente bajo la presión de la gravedad para la conversión de la hidrólisis ácida del material celulósico a los azúcares. De acuerdo con otros métodos, se puede aplicar ultrasonido durante la impregnación o en el recipiente o ambos bajo la presión de la gravedad.|JAMES TITMAS [US]; Cuyahoga Falls, Ohio, 44224, US|EAU VIRON INCORPORATED [US]; Gaylordsville, Connecticut, 06755, US|
