Número de concesión|Tipo de documento|Número de solicitud|Fecha de presentación|Fecha de concesión|Clasificación CIP|Título|Resumen|Inventor(es)|Titular
Gaceta: Patentes, Registros de Modelos de Utilidad y de Diseños Industriales Volúmen: Diciembre de 2012
305715|Patente|MX/a/2009/003707|07/04/2009|03/12/2012|<i>B23B51/04</i> <b>(2006-01)</b>; <i>B23B47/34</i> <b>(2006-01)</b>; <i>B23C3/28</i> <b>(2006-01)</b>; <i>B23C3/32</i> <b>(2006-01)</b>; <i>B23C3/36</i> <b>(2006-01)</b>|HERRAMIENTA MODULAR PARA EL TALADRO Y METODO PARA LA FABRICACION DE LA MISMA.|Una herramienta modular para el taladro (1) que tiene un cuerpo portador (2) y una unidad cortante (16) que puede ser sujeta a este, extendiéndose el cuerpo portador (2) a lo largo de un eje longitudinal del cuerpo portador (Z), que está realizado sustancialmente como un cilindro circular que tiene un radio del cuerpo portador (Tr), y que tiene una ranura para virutas (6) y un borde de salida (8) que se extiende a lo largo de la ranura para virutas (6), extendiéndose la ranura para virutas (6) hacia el borde de salida (8) de una manera curvo convexa de forma que, mirada en una vista de sección transversal perpendicular al eje longitudinal del cuerpo portador (Z), se forma una ranura para virutas (6) con forma de J que tiene un filete cóncavo (18), y se produce un ángulo agudo de avance (W) entre una tangente de la ranura para virutas (T) al borde de salida (8) y una prolongación radial (R) que, en un punto tangente (P), es tangencial a la base de la ranura en la región del filete cóncavo (18), resultando de esta forma una guía para virutas mejorada en la ranura para virutas.|MERGENTHALER, PETER, KARL; Altmannshausen 33, 91477, Markt Bibart, ALEMANIA|KENNAMETAL INC.*; 1600 Technology Way, P.O. Box 231, 15650-0231, Latrobe, Pennsylvania, E.U.A.|
305716|Patente|PA/a/2006/000868|23/01/2006|03/12/2012|<i>B01J21/06</i> <b>(2006-01)</b>; <i>C03C4/00</i> <b>(2006-01)</b>|METODO PARA PREPARAR UN RECUBRIMIENTO FOTOCATALITICO INTEGRADO EN TRATAMIENTO TERMICO DE ENCRISTALADO.|La invención se refiere a un método para preparar un material que muestra propiedades fotocatalíticas y que comprende óxido de titanio al menos parcialmente cristalizado, en particular en la forma de anatasa y que emplea temperaturas superiores a 600ºC. La invención también se refiere a una hoja de vidrio en donde al menos un lado está cubierto con un material que contiene óxido de titanio y es tratable térmicamente a una temperatura superior a 600ºC por métodos tales como endurecimiento y/o flexión, pero preservando la actividad fotocatalítica y las propiedades ópticas requeridas de ésta para un encristalado de antiensuciamiento. La invención también se refiere a un encristalado monolítico, laminado, simple o de capas múltiples y comprende la hoja de vidrio, y al uso del encristalado para un edificio, un vehículo de transporte, como un encristalado ordinario, para uso interior, mobiliario interior, mobiliario urbano, espejo, una pantalla del sistema de visualización y encristalado fotovoltaico.|LAURENT LABROUSSE; NICOLAS NADAUD; 29/31, rue Anatole France, F-93120, Courneuve, FRANCIA|SAINT-GOBAIN GLASS FRANCE.*; Les Miroirs, 18, avenue d'Alsace, F-92400, Courbevoie, FRANCIA|
305717|Patente|MX/a/2008/005813|06/05/2008|03/12/2012|<i>C03C17/36</i> <b>(2006-01)</b>; <i>C23C14/34</i> <b>(2006-01)</b>; <i>B32B17/10</i> <b>(2006-01)</b>|SUSTRATO QUE SE PROPORCIONA CON UN RECUBRIMIENTO DE CAPAS MULTIPLES QUE TIENE PROPIEDADES TERMICAS.|La invención se refiere a un sustrato (10), tal como un sustrato de vidrio transparente, que está equipado con una pila de capas delgadas que comprende una pila alternada de n capas funcionales (40) que tienen propiedades de reflexión en la escala infrarroja y/o en la radiación solar, particularmente capas funcionales basadas en plata, y (n+l) recubrimientos dieléctricos (20, 60), donde n = 1, estando estos recubrimientos formados por una más capas (22, 24, 62, 64), de modo que cada capa funcional (40) está dispuesta entre al menos dos recubrimientos dieléctricos (20, 60) . La invención se caracteriza en que al menos una capa funcional (40) comprende un recubrimiento de bloqueo (30, 50) que consiste de: (i) una capa de interfaz (32, 52) que está en contacto directo con la capa funcional y que está hecha de un material distinto de un metal, y (u) una capa de metal (34, 54) que está hecha de un material de metal y que está en contacto directo con la capa de interfaz (32, 52).|ESTELLE MARTIN; ERIC MATTMANN; ERIC PETITJEAN; JONATHAN SCHNEIDER; PASCAL REUTLER; 5 Avenue Des Gobelins, F-75005, Paris, FRANCIA|SAINT-GOBAIN GLASS FRANCE.*; 18, Avenue D'alsace, F-92400, Courbevoie, FRANCIA|
305718|Patente|MX/a/2009/003384|30/03/2009|03/12/2012|<i>A61K38/00</i> <b>(2006-01)</b>; <i>A61P7/02</i> <b>(2006-01)</b>; <i>C07K14/745</i> (2006-01); <i>C12N15/00</i> (2006-01)|AGENTE TERAPEUTICO Y/O DE MEJORAMIENTO PARA LA COAGULACION INTRAVASCULAR DISEMINADA.|Se describe un agente terapéutico y/o de mejoramiento o una terapia y/o método de mejoramiento para la coagulación intravascular diseminada (DIC), que tiene un efecto terapéutico mayor. Específicamente se describe un agente terapéutico y/o profiláctico para la DIC, que comprende trombomodulina como un ingrediente activo. El agente terapéutico y/o profiláctico se administra a un paciente que tiene un nivel de antitrombina disminuido, a saber, un paciente que tiene un valor de activación de antitrombina en el plasma de menos del 50%.|YOSHIKAZU AOKI; 1-2 Yuraku-cho 1-Chome, 100-8440, Chiyoda-ku, Tokio, JAPON|ASAHI KASEI PHARMA CORPORATION; 1-105, Kanda Jinbocho, 101-8101, Chiyoda-ku, Tokio, JAPON|
305719|Patente|MX/a/2011/002019|23/02/2011|03/12/2012|<i>F24J2/07</i> <b>(2006-01)</b>; <i>F24J2/38</i> <b>(2006-01)</b>; <i>F24J2/40</i> <b>(2006-01)</b>; <i>G01J1/42</i> <b>(2006-01)</b>|SISTEMA TERMOSOLAR.|La invención se relaciona con un sistema termosolar. Con la finalidad de aumentar la eficiencia de éste, se propone que un robot medidor desplazable en dirección longitudinal sea dispuesto en la cubierta del receptor, el cual esta soportado en forma elevada. El robot medidor referido puede medir la distribución de radiación dirigida al tubo receptor a lo largo del receptor y puede verificar, por lo tanto, si los reflectores del sistema están ajustados correctamente.|MARTIN SELIG; MAX MERTINS; Luisenstr 52 a, 76137, Karlsruhe, ALEMANIA|NOVATEC SOLAR GMBH; Herrenstr. 30, 76133, Karlsruhe, Alemania, , ALEMANIA|
305720|Patente|MX/a/2011/009209|02/09/2011|03/12/2012|<i>H05B33/08</i> <b>(2006-01)</b>; <i>H05B37/02</i> <b>(2006-01)</b>; <i>H05B41/282</i> <b>(2006-01)</b>|SUMINISTRO DE ENERGIA DE MULTIPLES ETAPAS PARA UN DISPOSITIVO DE CONTROL DE CARGA QUE TIENE UN MODO DE BAJA ENERGIA.|Un suministro de energía de múltiples etapas para un dispositivo de control de carga es capaz de operar en un modo de baja energía en el cual el suministro de energía tiene un consumo de energía disminuido cuando una carga eléctrica controlada por el dispositivo de control de carga está apagada. El dispositivo de control de carga comprende un circuito de control de carga y un controlador, que operan para controlar la cantidad de energía suministrada a la carga. El suministro de energía comprende un primer suministro de energía eficiente (por ejemplo, un suministro de energía de conmutación) operable para generar un primer voltaje de suministro de CD. El suministro de energía comprende además un segundo suministro de energía ineficiente (por ejemplo, un suministro de energía lineal) operable para recibir el primer voltaje de suministro de CD y para generar un segundo voltaje de suministro de CD para accionar el controlador. El controlador controla el suministro de energía de múltiples etapas al modo de baja energía cuando la carga eléctrica está apagada, tal que la magnitud del primer voltaje del suministro CD disminuye a una magnitud disminuida y el suministro de energía ineficiente continúa generando el segundo voltaje de suministro de CD.|THOMAS M. SHEARER; MEHMET OZBEK; 2098 Southampton Drive, 18062, Macunigie, PA, E.U.A.|LUTRON ELECTRONICS COMPANY, INC.; 7200 Suter Road, 18036-1299, Coopersburg, Pennsylvania, E.U.A.|
305721|Patente|MX/a/2011/004828|06/05/2011|03/12/2012|<i>A47J27/12</i> <b>(2006-01)</b>; <i>A47J27/00</i> <b>(2006-01)</b>; <i>A47J31/00</i> <b>(2006-01)</b>|DISPOSITIVO DE PREPARACION DE ALIMENTOS ANTI-OXIDACION.|Un dispositivo de preparación de alimentos anti-oxidación incluye un recipiente para la preparación de alimentos que tiene un cuerpo eléctricamente conductor y una base de suministro de energía separada, la base genera energía AC de alta frecuencia que es transferida por una bobina primaria a una bobina secundaria mantenida por el recipiente, un circuito de rectificación convierte la energía AC de alta frecuencia en una corriente AC rectificada, ondulada que es suministrada al cuerpo eléctricamente conductor del recipiente para crear un ambiente de reducción de electrones disponibles para absorción por el alimento a medida que éste es preparado.|LANCE JOHNSON; STEVEN MAUPIN; 4363 Ridge View Drive, 44685, Uniontown, Ohio, E.U.A.|LANCE JOHNSON; 4363 Ridge View Drive, 44685, Uniontown, Ohio, E.U.A.|
305722|Patente|MX/a/2008/014501|12/11/2008|03/12/2012|<i>B65G47/10</i> <b>(2006-01)</b>; <i>B41J25/304</i> <b>(2006-01)</b>|APARATOS Y METODOS DE BANDA TRANSPORTADORA DE CLASIFICACION.|Se proporciona una banda transportadora de clasificación para desviar selectivamente artículos de una banda transportadora primaria (12) sobre líneas de ramificación (15); la banda transportadora comprende un sistema de control (160) para operar selectivamente elementos de activación; el sistema de control está configurado para asignar dos o más elementos empujadores (25) a cada artículo que va a ser desviado, y para asegurar la desviación apropiada de artículos cuando artículos adyacentes son separados en la superficie de transporte primaria por una distancia que es menor que el ancho de un elemento empujador individual; la desviación es provista por un solo mecanismo de activación para una pluralidad de elementos empujadores por destino de ramificación, y girando los artículos durante el movimiento de desviación inicial y el contacto con los elementos empujadores.|JOHN D. MOORE; BRIAN D. HYSELL; 3434 Weaver Road, 45103, Batavia, Ohio, E.U.A.|JOHN D. MOORE; BRIAN D. HYSELL; 3434 Weaver Road, 45103, Batavia, Ohio, E.U.A.|
305723|Patente|MX/a/2010/008321|29/07/2010|03/12/2012|<i>H04W16/10</i> <b>(2009-01)</b>|MITIGACION DE INTERFERENCIA PARA CANALES CONTROL EN UNA RED DE COMUNICACIONES INALAMBRICAS.|Se describen técnicas para mitigar la interferencia en canales control en una red de comunicaciones inalámbricas. En un aspecto, la alta interferencia a través de los recursos de radio utilizados para un canal control se puede mitigar al enviar una solicitud para reducir la interferencia hacia una o más estaciones de interferencia. Cada estación de interferencia puede reducir su potencia de transmisión a través de los recursos de radio, lo cual entonces puede permitir que el canal control observe menos interferencia. En un diseño, un equipo de usuario (UE) puede detectar alta interferencia a través de los recursos de radio utilizados para un canal control mediante una estación base deseada. El UE puede enviar una solicitud para reducir la interferencia a través de los recursos radio hacia una estación base de interferencia, lo cual puede reducir su potencia de transmisión a través de los recursos de radio. El UE puede recibir el canal control a través de los recursos de radio provenientes de la estación base deseada y puede observar menos interferencia proveniente de la estación base de interferencia.|NAGA BHUSHAN; RAVI PALANKI; AVNEESH AGRAWAL; AAMOD D. KHANDEKAR; 5775 Morehouse Drive, 92121, San Diego, California, E.U.A.|QUALCOMM INCORPORATED.*; 5775 Morehouse Drive, 92121-1714, San Diego, California, E.U.A.|
305724|Patente|MX/a/2009/000895|23/01/2009|03/12/2012|<i>E04B1/34</i> <b>(2006-01)</b>; <i>E04B5/02</i> <b>(2006-01)</b>|ESTRUCTURA DE BALCON.|Se proporcionan sistemas para uso en estructuras de balcón; el sistema incluye una vigueta laminada que comprende un cordón superior y un cordón inferior separados por una red; un extremo de la vigueta laminada es soportado por un elemento de soporte y un balcón en voladizo se extiende por lo general perpendicularmente desde el elemento de soporte; el balcón en voladizo comprende una losa de balcón cementosa que se extiende desde una losa de piso cementosa; la losa de piso cementosa incluye una región de vano posterior que se extiende desde la parte superior del elemento de soporte opuesta a la losa de balcón cementosa; una porción de la vigueta laminada en la región de vano posterior comprende un elemento de soporte de plataforma acoplado a la red entre el cordón superior y el cordón inferior; la vigueta laminada en la región de vano posterior soporta la plataforma utilizando el elemento de soporte de plataforma; sin embargo, la vigueta laminada más allá de la región de vano posterior soporta la plataforma por arriba del cordón superior; de esta forma, la losa de piso cementosa en la región de vano posterior es más gruesa que la losa de piso cementosa más allá de la región de vano posterior.|GLENN WAYNE STUDEBAKER; DAVID LEE SAMUELSON; LIONEL EDWARD DAYTON; 408 William Street , 68701, Norfolk, Nebraska, E.U.A.|NUCOR CORPORATION; 1915 Rexford Road, 28211, Charlotte, North Caroline, E.U.A.|
